Date,Ret,sigma,VaR,Exception
1995-04-19,-0.0008904011010784961,0.006448998710490058,0.010607658919154944,False
1995-04-20,0.0007327814118550588,0.0060788945866400495,0.00999889180869056,False
1995-04-21,0.006332959177904577,0.005915739277319175,0.00973052520639773,False
1995-04-24,0.008653120192198922,0.007073961920910307,0.011635631922525928,False
1995-04-25,-0.0015403672851772956,0.008364626143926093,0.013758585650929947,False
1995-04-26,0.0010935306116867827,0.006995418555051481,0.01150643958232006,False
1995-04-27,0.0017360727321692978,0.006328718352369763,0.010409815335849755,False
1995-04-28,0.0022588531342736516,0.006101364585566204,0.01003585166792184,False
1995-05-01,-0.0008743019967853184,0.006077139698516708,0.009996005274595987,False
1995-05-02,0.001166676366688462,0.005922703129378359,0.009741979723714832,False
1995-05-03,0.010915579310363414,0.005880120614522719,0.009671937719709818,False
